date,sameday,3lag,7lag,14lag,lat,long,ws,air_temp,atmos_pres,visibility,dew_point,RH,
24-Jun,0.52,1.228779826,6.501538339,6.103951681,33.45,43.3166666,3,35.64,1000.88,10000,8.32,19.95,Anbar
25-Jun,0.42,0.732414895,1.219989532,1.939154252,33.45,43.3166666,1,37.23,1002.17,10000,9.47,18.97,Anbar
26-Jun,0.32,0.578492265,1.601627705,19.50363835,33.45,43.3166666,1,39.53,1000.23,10000,8.43,15.78,Anbar
27-Jun,0.71,0.523128703,1.694887296,0.248156148,33.45,43.3166666,1.33,39.73,1000.07,10000,10.57,17.9,Anbar
28-Jun,0.64,0.415956006,1.228779826,5.634977772,33.45,43.3166666,1.5,37.95,999.75,10000,11.15,20.06,Anbar
29-Jun,0.26,0.319235898,0.732414895,5.842973613,33.45,43.3166666,1.67,40.13,994.97,10000,9.63,16.4,Anbar
30-Jun,0.24,0.707599626,0.578492265,0.725729334,33.45,43.3166666,2,36.8,996.6,10000,11.8,22.03,Anbar
1-Jul,0.47,0.639782573,0.523128703,6.501538339,33.45,43.3166666,1.75,38.63,994.7,10000,15.38,25.24,Anbar
2-Jul,0.4,0.26142492,0.415956006,1.219989532,33.45,43.3166666,3.25,39.7,995.55,10000,10.55,17.97,Anbar
3-Jul,0.44,0.23772711,0.319235898,1.601627705,33.45,43.3166666,2.25,38.58,997.2,10000,14.1,24.8,Anbar
4-Jul,0.56,0.465866637,0.707599626,1.694887296,33.45,43.3166666,2,37.2,996.47,10000,12.83,24.54,Anbar
5-Jul,1.33,0.39676706,0.639782573,1.228779826,33.45,43.3166666,2.33,41.3,992.57,10000,13.37,19.84,Anbar
6-Jul,1.48,0.43901193,0.26142492,0.732414895,33.45,43.3166666,2.2,39.18,991.18,10000,16.54,27.12,Anbar
7-Jul,1.81,0.559170838,0.23772711,0.578492265,33.45,43.3166666,2.8,40.14,991.08,10000,15.5,24.01,Anbar
8-Jul,2.71,1.328471626,0.465866637,0.523128703,33.45,43.3166666,3.67,38.43,992.1,10000,14.27,24.94,Anbar
